1, 1504.65, 150.0
2, 1288.4, 128.0
3, 1421.76, 142.0
4, 1608.65, 160.0
5, 1620.77, 162.0
1, 1307.29, 130.0
2, 1403.88, 140.0
3, 1304.91, 130.0
4, 1607.76, 160.0
5, 1232.89, 123.0
1, 1490.27, 149.0
2, 1392.81, 139.0
3, 1206.98, 120.0
4, 1446.12, 144.0
5, 1595.89, 159.0
1, 1227.06, 122.0
2, 671.11, 67.0
3, 1496.64, 149.0
4, 1492.94, 149.0
5, 1598.32, 159.0
1, 1415.02, 141.0
2, 1227.55, 122.0
3, 1268.09, 126.0
4, 1309.99, 130.0
5, 1571.76, 157.0
1, 1770.46, 177.0
2, 1982.74, 198.0
3, 239.06, 23.0
4, 1250.12, 125.0
5, 1369.05, 136.0
1, 1859.34, 185.0
2, 223.22, 22.0
3, 367.4, 36.0
4, 1266.08, 126.0
5, 1736.32, 173.0
